Order_ID,Order_Date,Customer_Name,Segment,Region,State,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD100001,2025-11-24,Customer 1228,Consumer,North,Uttar Pradesh,Technology,Accessories,Keyboard,2,1579.09,0,3158.18,722.82
ORD100002,2025-01-17,Customer 1179,Consumer,North,Punjab,Technology,Laptops,Ultrabook,5,47786.28,0.02,234152.76,54446.21
ORD100003,2025-08-18,Customer 1245,Corporate,East,West Bengal,Office Supplies,Paper,A4 Paper,6,524.7,0.05,2990.79,304.18
ORD100004,2025-02-17,Customer 1249,Small Business,West,Maharashtra,Technology,Accessories,Headset,7,973.74,0.1,6134.55,1061.09
ORD100005,2025-10-10,Customer 1074,Small Business,East,Odisha,Office Supplies,Storage,Storage Box,6,603.42,0.2,2896.42,232.11
ORD100006,2025-02-21,Customer 1239,Corporate,West,Maharashtra,Technology,Accessories,Keyboard,3,2938.21,0.2,7051.69,625.73
ORD100007,2025-11-08,Customer 1056,Corporate,South,Telangana,Furniture,Tables,Office Table,4,14486.39,0.2,46356.44,8408.85
ORD100008,2025-04-28,Customer 1080,Consumer,North,Uttar Pradesh,Office Supplies,Art Supplies,Sketch Pens,1,292.63,0.15,248.74,58.53
ORD100009,2025-07-22,Customer 1109,Small Business,West,Goa,Technology,Laptops,Business Laptop,6,103943.65,0.05,592478.83,137362.09
ORD100010,2025-07-05,Customer 1040,Corporate,South,Tamil Nadu,Office Supplies,Binders,Presentation Binder,1,397.43,0,397.43,45.16
ORD100011,2025-11-02,Customer 1029,Corporate,North,Haryana,Furniture,Furnishings,Desk Organizer,3,6326.47,0,18979.41,4358.86
ORD100012,2025-11-25,Customer 1067,Small Business,East,Odisha,Technology,Printers,Laser Printer,4,7090.87,0.2,22690.78,5052.96
ORD100013,2025-09-17,Customer 1199,Small Business,North,Delhi,Office Supplies,Storage,Storage Box,2,2368.7,0.02,4642.65,899.11
ORD100014,2025-11-03,Customer 1224,Corporate,East,West Bengal,Furniture,Chairs,Office Chair,7,15198.23,0.02,104259.89,9148.13
ORD100015,2025-02-13,Customer 1135,Small Business,West,Goa,Office Supplies,Binders,Ring Binder,6,279.62,0.15,1426.05,112.41
ORD100016,2025-04-19,Customer 1063,Consumer,South,Karnataka,Office Supplies,Art Supplies,Notebooks,6,479.43,0.15,2445.11,346.78
ORD100017,2025-01-11,Customer 1008,Small Business,South,Telangana,Furniture,Chairs,Ergonomic Chair,6,12650.99,0.02,74387.84,6682.12
ORD100018,2025-09-21,Customer 1062,Corporate,South,Tamil Nadu,Technology,Printers,Laser Printer,5,10704.73,0.15,45495.11,7700.8
ORD100019,2025-04-08,Customer 1167,Small Business,North,Delhi,Technology,Printers,Inkjet Printer,4,18510.86,0.2,59234.76,2482.98
ORD100020,2025-02-01,Customer 1046,Consumer,West,Gujarat,Office Supplies,Paper,A4 Paper,2,373.64,0.1,672.54,57.73
ORD100021,2025-02-08,Customer 1237,Corporate,West,Gujarat,Office Supplies,Paper,A4 Paper,6,899.53,0,5397.2,1582.35
ORD100022,2025-03-27,Customer 1067,Small Business,West,Goa,Furniture,Tables,Meeting Table,1,9115.93,0,9115.93,2705.32
